Index,Name,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throes,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Asists,Rebound,Pie,Height,Weight,Country,Previous Team,Age,Birthdate,Draft,Experience,Total Awards
11,Precious Achiuwa,Forward,20 ,7 ,3 ,1 ,9 ,2 ,2 ,3 ,189,1476,FALSE,9.2,0.9,6,10,"6'8"" (2.03m)",225lb (102kg),Nigeria,Memphis,23 years,"September 19, 1999",2020 R1 Pick 20,2 Years,0
12,Alex Acker,Guard,--,--,--,--,--,--,--,--,30,81,FALSE,2.7,0.5,1,--,"6'5"" (1.96m)",185lb (84kg),USA,Pepperdine,--,"January 21, 1983",2005 R2 Pick 60,3 Years,0
13,Donald Ackerman,Guard,2 ,--,1 ,--,1 ,--,--,--,28,43,FALSE,1.5,0.8,0.5,--,"6'0"" (1.83m)",183lb (83kg),USA,Long Island-Brooklyn,--,"September 4, 1930",1953,1 Year,0
14,Mark Acres,Center,6 ,7 ,1 ,1 ,3 ,4 ,--,1 ,375,1343,FALSE,3.6,0.5,4.1,--,"6'11"" (2.11m)",220lb (100kg),USA,Oral Roberts,--,"November 15, 1962",1985 R2 Pick 40,6 Years,0
15,Charles Acton,Forward,--,--,--,--,--,--,--,--,23,77,FALSE,3.3,0.5,2,--,"6'6"" (1.98m)",210lb (95kg),USA,Hillsdale,--,"January 11, 1942",Undrafted,1 Year,0
16,Quincy Acy,--,--,--,--,--,--,--,--,--,337,1642,FALSE,4.9,0.6,3.5,--,"6'7"" (2.01m)",240lb (109kg),USA,Baylor,--,"October 6, 1990",2012 R2 Pick 37,7 Years,0
17,Alvan Adams,Center,33 ,20 ,12 ,4 ,14 ,8 ,--,4 ,988,13910,FALSE,14.1,4.1,7,--,"6'9"" (2.06m)",210lb (95kg),USA,Oklahoma,--,"July 19, 1954",1975 R1 Pick 4,13 Years,3
18,Don Adams,Forward,23 ,--,7 ,--,10 ,7 ,--,--,487,4236,FALSE,8.7,1.8,5.6,--,"6'7"" (2.01m)",210lb (95kg),USA,Northwestern,--,"November 27, 1947",1970 R8 Pick 120,7 Years,0
19,Hassan Adams,--,2 ,1 ,--,--,1 ,--,--,--,73,185,FALSE,2.5,0.2,1.2,--,"6'4"" (1.93m)",220lb (100kg),USA,Arizona,--,"June 20, 1984",2006 R2 Pick 54,2 Years,0
20,Jaylen Adams,--,4 ,2 ,2 ,1 ,2 ,--,--,--,41,110,FALSE,2.7,1.6,1.5,--,"6'0"" (1.83m)",225lb (102kg),USA,St. Bonaventure,--,"May 4, 1996",Undrafted,3 Years,0
21,Jordan Adams,Guard,3 ,1 ,--,1 ,1 ,1 ,1 ,--,32,101,FALSE,3.2,0.6,0.9,--,"6'5"" (1.96m)",209lb (95kg),USA,UCLA,--,"July 8, 1994",2014 R1 Pick 22,3 Years,0
22,Michael Adams,Guard,25 ,12 ,9 ,4 ,8 ,7 ,6 ,1 ,653,9621,FALSE,14.7,6.4,2.9,--,"5'10"" (1.78m)",165lb (75kg),USA,Boston College,--,"January 19, 1963",1985 R3 Pick 66,11 Years,2
23,Steven Adams,Center,19 ,17 ,3 ,3 ,9 ,7 ,--,5 ,706,6518,FALSE,8.6,2.3,11.5,11.2,"6'11"" (2.11m)",265lb (120kg),New Zealand,Pittsburgh,29 years,"July 20, 1993",2013 R1 Pick 12,9 Years,1
24,Rafael Addison,Forward,9 ,4 ,2 ,1 ,3 ,3 ,1 ,--,379,2186,FALSE,5.8,0.9,2.1,--,"6'8"" (2.03m)",241lb (109kg),USA,Syracuse,--,"July 22, 1964",1986 R2 Pick 39,6 Years,0
25,Bam Adebayo,Center-Forward,32 ,19 ,10 ,4 ,15 ,10 ,--,4 ,418,6146,FALSE,20.4,3.2,9.2,14.2,"6'9"" (2.06m)",255lb (116kg),USA,Kentucky,25 years,"July 18, 1997",2017 R1 Pick 14,5 Years,4
26,Deng Adel,Forward,--,--,--,--,--,--,--,--,19,32,FALSE,1.7,0.3,1,--,"6'7"" (2.01m)",200lb (91kg),South Sudan,Louisville,--,"February 1, 1997",2018,2 Years,0
27,Rick Adelman,Guard,26 ,--,8 ,3 ,10 ,6 ,--,--,462,3579,FALSE,7.7,3.5,2.4,--,"6'2"" (1.88m)",175lb (79kg),USA,Loyola-Marymount,--,"June 16, 1946",1968 R7 Pick 79,7 Years,0
28,Jeff Adrien,--,--,--,--,--,--,--,--,--,153,709,FALSE,4.6,0.7,4.3,--,--,--,USA,Connecticut,--,"February 10, 1986",Undrafted,6 Years,0
29,Arron Afflalo,Guard,19 ,6 ,7 ,3 ,8 ,4 ,2 ,2 ,762,8198,FALSE,10.8,1.8,2.9,--,"6'5"" (1.96m)",210lb (95kg),USA,UCLA,--,"October 15, 1985",2007 R1 Pick 27,12 Years,0
30,Ochai Agbaji,Guard,--,--,--,--,--,--,--,--,59,467,FALSE,7.9,1.1,2.1,5.2,"6'5"" (1.96m)",215lb (98kg),USA,Kansas,23 years,"April 20, 2000",2022 R1 Pick 14,Rookie,0
31,Maurice Ager,--,10 ,3 ,--,--,3 ,2 ,2 ,--,82,169,FALSE,2.1,0.2,0.6,--,"6'5"" (1.96m)",202lb (92kg),USA,Michigan State,--,"February 9, 1984",2006 R1 Pick 28,4 Years,0
32,Mark Aguirre,Forward,39 ,17 ,10 ,3 ,19 ,11 ,3 ,2 ,923,18458,FALSE,20,3.1,5,--,"6'6"" (1.98m)",232lb (105kg),USA,DePaul,--,"December 10, 1959",1981 R1 Pick 1,13 Years,4
33,Blake Ahearn,Guard,5 ,--,2 ,--,2 ,--,1 ,--,19,88,FALSE,4.6,1.2,1.2,--,"6'2"" (1.88m)",190lb (86kg),USA,Missouri State,--,"May 27, 1984",Undrafted,4 Years,0
34,Danny Ainge,Guard,30 ,10 ,14 ,5 ,12 ,7 ,5 ,2 ,1042,11964,FALSE,11.5,4,2.7,--,"6'5"" (1.96m)",175lb (79kg),USA,Brigham Young,--,"March 17, 1959",1981 R2 Pick 31,14 Years,0
35,Alexis Ajinca,Center,6 ,1 ,1 ,1 ,3 ,--,--,--,293,1553,FALSE,5.3,0.5,3.9,--,"7'2"" (2.18m)",248lb (112kg),France,Hyeres-Toulon,--,"May 6, 1988",2008 R1 Pick 20,8 Years,0
36,Henry Akin,Center,2 ,--,--,--,1 ,1 ,--,--,86,304,FALSE,3.5,0.5,2.1,--,"6'10"" (2.08m)",225lb (102kg),USA,Morehead State,--,"July 31, 1944",1966 R2 Pick 11,2 Years,0
37,Josh Akognon,Guard,--,--,--,--,--,--,--,--,3,5,FALSE,1.7,0.3,0.3,--,"5'11"" (1.80m)",185lb (84kg),USA,California State-Fullerton,--,"February 10, 1986",Undrafted,2 Years,0
38,DeVaughn Akoon-Purcell,--,--,--,--,--,--,--,--,--,7,7,FALSE,1,0.9,0.6,--,"6'6"" (1.98m)",200lb (91kg),Trinidad and Tobago,Illinois State,--,"June 5, 1993",2016,2 Years,0
39,Solomon Alabi,Center,--,--,--,--,--,--,--,--,26,39,FALSE,1.5,0.2,2.3,--,"7'1"" (2.16m)",252lb (114kg),Nigeria,Florida State,--,"March 21, 1988",2010 R2 Pick 50,3 Years,0
40,Mark Alarie,Forward,8 ,3 ,1 ,1 ,4 ,2 ,1 ,2 ,325,2432,FALSE,7.5,1.1,3.4,--,"6'8"" (2.03m)",217lb (98kg),USA,Duke,--,"December 11, 1963",1986 R1 Pick 18,5 Years,0
41,Gary Alcorn,Center,--,--,--,--,--,--,--,--,78,261,FALSE,3.3,0.3,4.2,--,"6'9"" (2.06m)",225lb (102kg),USA,Fresno State,--,"October 8, 1936",1959 R3 Pick 16,2 Years,0
42,Santi Aldama,Forward-Center,16 ,7 ,3 ,2 ,6 ,2 ,2 ,--,109,828,FALSE,9,1.3,4.8,9.3,"7'0"" (2.13m)",215lb (98kg),Spain,Loyola-Maryland,22 years,"January 10, 2001",2021 R1 Pick 30,1 Year,0
43,Furkan Aldemir,Forward-Center,--,--,--,--,--,--,--,--,41,93,FALSE,2.3,0.7,4.3,--,"6'10"" (2.08m)",240lb (109kg),Turkey,Galatasaray,--,"August 9, 1991",2012 R2 Pick 53,2 Years,0
44,Cole Aldrich,Center,11 ,8 ,2 ,2 ,5 ,1 ,--,2 ,339,1050,FALSE,3.1,0.5,3.3,--,"6'11"" (2.11m)",253lb (115kg),USA,Kansas,--,"October 31, 1988",2010 R1 Pick 11,9 Years,0
45,LaMarcus Aldridge,Center-Forward,46 ,18 ,5 ,4 ,18 ,14 ,3 ,5 ,1076,20558,FALSE,19.1,1.9,8.1,--,"6'11"" (2.11m)",250lb (113kg),USA,Texas-Austin,--,"July 19, 1985",2006 R1 Pick 2,17 Years,16
46,Chuck Aleksinas,Center,--,--,--,--,--,--,--,--,74,377,FALSE,5.1,0.5,3.6,--,"6'11"" (2.11m)",260lb (118kg),USA,Connecticut,--,"February 26, 1959",1982 R4 Pick 76,1 Year,0
47,Cliff Alexander,Forward,--,--,--,--,--,--,--,--,8,10,FALSE,1.3,--,0.8,--,"6'8"" (2.03m)",240lb (109kg),USA,Kansas,--,"November 16, 1995",Undrafted,2 Years,0
48,Cory Alexander,Guard,8 ,3 ,3 ,1 ,3 ,2 ,1 ,--,307,1677,FALSE,5.5,2.7,1.6,--,"6'1"" (1.85m)",190lb (86kg),USA,Virginia,--,"June 22, 1973",1995 R1 Pick 29,8 Years,0
49,Courtney Alexander,Guard,12 ,3 ,1 ,1 ,5 ,1 ,1 ,--,187,1690,FALSE,9,1.2,2.2,--,"6'5"" (1.96m)",205lb (93kg),USA,Fresno State,--,"April 27, 1977",2000 R1 Pick 13,4 Years,2
50,Gary Alexander,Forward,--,--,--,--,--,--,--,--,11,19,FALSE,1.7,0.2,1.4,--,"6'7"" (2.01m)",240lb (109kg),USA,South Florida,--,"November 1, 1969",Undrafted,1 Year,0
51,Joe Alexander,Forward,--,--,--,--,--,--,--,--,67,282,FALSE,4.2,0.7,1.8,--,"6'8"" (2.03m)",230lb (104kg),USA,West Virginia,--,"December 26, 1986",2008 R1 Pick 8,3 Years,0
52,Kyle Alexander,Forward-Center,--,--,--,--,--,--,--,--,2,2,FALSE,1,--,1.5,--,"6'10"" (2.08m)",216lb (98kg),Canada,Tennessee,--,"October 21, 1996",Undrafted,2 Years,0
53,Ty-Shon Alexander,Guard,2 ,--,--,--,1 ,--,--,--,15,9,FALSE,0.6,0.4,0.7,--,"6'3"" (1.91m)",195lb (88kg),USA,Creighton,--,"July 16, 1998",Undrafted,2 Years,0
54,Victor Alexander,Forward,4 ,4 ,1 ,2 ,2 ,1 ,--,--,286,2542,FALSE,8.9,0.9,4.8,--,"6'10"" (2.08m)",265lb (120kg),USA,Iowa State,--,"August 31, 1969",1991 R1 Pick 17,5 Years,0
55,Nickeil Alexander-Walker,Guard,14 ,4 ,3 ,1 ,5 ,1 ,3 ,1 ,217,1830,FALSE,6.2,1.8,1.7,7.7,"6'5"" (1.96m)",205lb (93kg),Canada,Virginia Tech,24 years,"September 2, 1998",2019 R1 Pick 17,3 Years,0
56,Steve Alford,Guard,12 ,3 ,4 ,1 ,4 ,2 ,3 ,--,169,744,FALSE,4.4,1,0.9,--,"6'2"" (1.88m)",183lb (83kg),USA,Indiana,--,"November 23, 1964",1987 R2 Pick 26,4 Years,1
57,Rawle Alkins,Guard,--,--,--,--,--,--,--,--,10,37,FALSE,3.7,1.3,2.6,--,"6'5"" (1.96m)",225lb (102kg),USA,Arizona,--,"October 29, 1997",Undrafted,2 Years,0
58,Bob Allen,Forward,4 ,--,--,--,--,4 ,--,--,27,48,FALSE,1.8,0.4,2.1,--,"6'9"" (2.06m)",205lb (93kg),USA,Marshall,--,"July 17, 1946",1968 R6 Pick 71,1 Year,0
59,Grayson Allen,Guard,27 ,6 ,5 ,3 ,10 ,5 ,6 ,1 ,264,2556,FALSE,10.4,2.3,3.3,7.8,"6'4"" (1.93m)",198lb (90kg),USA,Duke,27 years,"October 8, 1995",2018 R1 Pick 21,4 Years,0
60,Jarrett Allen,Center,21 ,17 ,5 ,3 ,7 ,7 ,--,3 ,409,4914,FALSE,14.3,1.7,9.8,13.4,"6'9"" (2.06m)",243lb (110kg),USA,Texas,25 years,"April 21, 1998",2017 R1 Pick 22,5 Years,1
61,Jerome Allen,Guard,--,--,--,--,--,--,--,--,117,336,FALSE,2.9,1.7,1.1,--,"6'4"" (1.93m)",184lb (83kg),USA,Pennsylvania,--,"January 28, 1973",1995 R2 Pick 49,2 Years,0
62,Kadeem Allen,--,--,--,--,--,--,--,--,--,47,258,FALSE,5.5,2.3,1.5,--,"6'1"" (1.85m)",200lb (91kg),USA,Arizona,--,"January 15, 1993",2017 R2 Pick 53,3 Years,0
63,Lavoy Allen,Forward-Center,12 ,10 ,2 ,2 ,6 ,2 ,--,2 ,388,1847,FALSE,4.8,1,4.8,--,"6'9"" (2.06m)",260lb (118kg),USA,Temple,--,"February 4, 1989",2011 R2 Pick 50,7 Years,0
64,Lucius Allen,Guard,25 ,9 ,8 ,3 ,10 ,10 ,--,1 ,702,9407,FALSE,13.4,4.5,3.1,--,"6'2"" (1.88m)",175lb (79kg),USA,UCLA,--,"September 26, 1947",1969 R1 Pick 3,10 Years,0
65,Malik Allen,Forward,13 ,8 ,3 ,2 ,6 ,2 ,--,2 ,478,2334,FALSE,4.9,0.5,2.8,--,"6'10"" (2.08m)",255lb (116kg),USA,Villanova,--,"June 27, 1978",Undrafted,11 Years,0
66,Randy Allen,Forward,--,--,--,--,--,--,--,--,70,252,FALSE,3.6,0.3,2.1,--,"6'8"" (2.03m)",220lb (100kg),USA,Florida State,--,"January 26, 1965",Undrafted,2 Years,0
67,Ray Allen,Guard,51 ,11 ,10 ,5 ,18 ,11 ,9 ,2 ,1300,24505,TRUE,18.9,3.4,4.1,--,"6'5"" (1.96m)",205lb (93kg),USA,Connecticut,--,"July 20, 1975",1996 R1 Pick 5,18 Years,13
68,Tony Allen,--,19 ,13 ,6 ,5 ,8 ,9 ,1 ,3 ,820,6654,FALSE,8.1,1.3,3.5,--,"6'4"" (1.93m)",213lb (97kg),USA,Oklahoma State,--,"January 11, 1982",2004 R1 Pick 25,14 Years,6
69,Odis Allison,Forward,--,--,--,--,--,--,--,--,36,67,FALSE,1.9,0.3,1.3,--,"6'6"" (1.98m)",195lb (88kg),USA,UNLV,--,"October 2, 1949",1971 R5 Pick 76,1 Year,0
70,Lance Allred,Center,--,--,--,--,--,--,--,--,3,3,FALSE,1,--,0.3,--,"6'11"" (2.11m)",250lb (113kg),USA,Weber State,--,"February 2, 1981",Undrafted,2 Years,0
71,Darrell Allums,Forward,--,--,--,--,--,--,--,--,22,59,FALSE,2.7,1.1,3,--,"6'8"" (2.03m)",220lb (100kg),USA,UCLA,--,"September 12, 1958",1980 R5 Pick 103,1 Year,0
72,Morris Almond,Guard,--,--,--,--,--,--,--,--,38,119,FALSE,3.1,0.3,1.2,--,"6'6"" (1.98m)",225lb (102kg),USA,Rice,--,"February 2, 1985",2007 R1 Pick 25,4 Years,0
73,Derrick Alston,--,--,--,--,--,--,--,--,--,139,751,FALSE,5.4,0.7,3.8,--,"6'11"" (2.11m)",225lb (102kg),USA,Duquesne,--,"August 20, 1972",1994 R2 Pick 33,3 Years,0
74,Rafer Alston,Guard,26 ,11 ,10 ,4 ,10 ,5 ,6 ,2 ,671,6799,FALSE,10.1,4.8,2.8,--,"6'2"" (1.88m)",175lb (79kg),USA,Fresno State,--,"July 24, 1976",1998 R2 Pick 39,11 Years,0
75,Peter Aluma,--,--,--,--,--,--,--,--,--,2,2,FALSE,1,--,1,--,"6'10"" (2.08m)",260lb (118kg),USA,Liberty,--,"April 26, 1973",Undrafted,1 Year,0
76,Jose Alvarado,Guard,12 ,3 ,4 ,2 ,4 ,4 ,2 ,1 ,115,880,FALSE,9,3,2.3,7.9,"6'0"" (1.83m)",179lb (81kg),USA,Georgia Tech,25 years,"April 12, 1998",Undrafted,1 Year,0
77,John Amaechi,Forward-Center,5 ,2 ,2 ,2 ,2 ,3 ,--,2 ,294,1837,FALSE,6.2,0.8,2.6,--,"6'10"" (2.08m)",270lb (122kg),United Kingdom,Penn State,--,"November 26, 1970",Undrafted,6 Years,0
78,Ashraf Amaya,--,--,--,--,--,--,--,--,--,85,379,FALSE,4.5,0.4,4.2,--,"6'8"" (2.03m)",230lb (104kg),USA,Southern Illinois,--,"November 23, 1971",Undrafted,2 Years,0
79,Al-Farouq Aminu,Forward,30 ,15 ,4 ,5 ,11 ,7 ,6 ,3 ,711,5350,FALSE,7.5,1.2,6,--,"6'8"" (2.03m)",220lb (100kg),USA,Wake Forest,--,"September 21, 1990",2010 R1 Pick 8,12 Years,1
80,Lou Amundson,Forward,7 ,7 ,1 ,2 ,3 ,3 ,--,2 ,428,1564,FALSE,3.7,0.4,3.6,--,"6'9"" (2.06m)",220lb (100kg),USA,UNLV,--,"December 7, 1982",Undrafted,11 Years,0
81,Bob Anderegg,Forward,--,--,--,--,--,--,--,--,33,133,FALSE,4,0.9,2.1,--,"6'3"" (1.91m)",200lb (91kg),USA,Michigan State,--,"August 24, 1937",1959 R3 Pick 20,1 Year,0
82,Chris Andersen,--,16 ,14 ,2 ,3 ,7 ,7 ,--,6 ,695,3755,FALSE,5.4,0.5,5,--,"6'10"" (2.08m)",245lb (111kg),USA,Blinn J.C.,--,"July 7, 1978",Undrafted,15 Years,0
83,David Andersen,--,--,--,--,--,--,--,--,--,103,501,FALSE,4.9,0.6,2.8,--,--,--,Australia,FC Barcelona,--,"June 23, 1980",2002 R2 Pick 36,20 Years,3
84,Alan Anderson,Forward-Guard,23 ,9 ,3 ,3 ,9 ,3 ,4 ,1 ,330,2421,FALSE,7.3,1.1,2.2,--,"6'6"" (1.98m)",220lb (100kg),USA,Michigan State,--,"October 16, 1982",Undrafted,9 Years,0
85,Antonio Anderson,--,--,--,--,--,--,--,--,--,1,2,FALSE,2,--,1,--,"6'6"" (1.98m)",215lb (98kg),USA,Memphis,--,"June 5, 1985",Undrafted,2 Years,0
86,Cliff Anderson,Guard,2 ,--,--,--,1 ,--,--,--,81,247,FALSE,3,0.8,1.3,--,"6'2"" (1.88m)",200lb (91kg),USA,St. Joseph's (PA),--,"September 7, 1944",1967 R4 Pick 35,3 Years,0
87,Daniel Anderson,Guard,--,--,--,--,--,--,--,--,95,347,FALSE,3.7,1.7,1,--,"6'2"" (1.88m)",185lb (84kg),USA,Southern California,--,"January 1, 1951",1974 R6 Pick 92,2 Years,0
88,Derek Anderson,Guard,22 ,5 ,6 ,2 ,8 ,8 ,2 ,1 ,615,7357,FALSE,12,3.4,3.2,--,"6'5"" (1.96m)",195lb (88kg),USA,Kentucky,--,"July 18, 1974",1997 R1 Pick 13,12 Years,2
89,Dwight Anderson,Guard,--,--,--,--,--,--,--,--,5,21,FALSE,4.2,0.6,0.4,--,"6'3"" (1.91m)",185lb (84kg),USA,Southern California,--,"December 28, 1960",1982 R2 Pick 41,1 Year,0
90,Eric Anderson,Forward,2 ,1 ,--,--,1 ,--,--,--,27,42,FALSE,1.6,0.2,1.1,--,"6'9"" (2.06m)",220lb (100kg),USA,Indiana,--,"May 26, 1970",Undrafted,2 Years,0
91,Greg Anderson,Center-Forward,18 ,10 ,2 ,2 ,8 ,3 ,--,2 ,680,4953,FALSE,7.3,0.6,6.2,--,"6'10"" (2.08m)",250lb (113kg),USA,Houston,--,"June 22, 1964",1987 R1 Pick 23,10 Years,2
92,James Anderson,Guard-Forward,4 ,4 ,1 ,1 ,2 ,1 ,1 ,--,247,1422,FALSE,5.8,1.2,2.3,--,"6'6"" (1.98m)",213lb (97kg),USA,Oklahoma State,--,"March 25, 1989",2010 R1 Pick 20,6 Years,0
93,Jerome Anderson,Guard,2 ,1 ,1 ,--,1 ,--,--,--,49,127,FALSE,2.6,0.3,0.5,--,"6'5"" (1.96m)",195lb (88kg),USA,West Virginia,--,"October 9, 1953",1975 R3 Pick 53,2 Years,0
94,Justin Anderson,--,14 ,7 ,2 ,3 ,5 ,5 ,3 ,1 ,242,1284,FALSE,5.3,0.8,2.6,--,"6'5"" (1.96m)",231lb (105kg),USA,Virginia,--,"November 19, 1993",2015 R1 Pick 21,7 Years,0
95,Kenny Anderson,--,30 ,7 ,11 ,3 ,9 ,9 ,3 ,1 ,858,10789,FALSE,12.6,6.1,3.1,--,"6'1"" (1.85m)",168lb (76kg),USA,Georgia Tech,--,"October 9, 1970",1991 R1 Pick 2,14 Years,1
96,Kim Anderson,Forward,--,--,--,--,--,--,--,--,21,63,FALSE,3,0.7,2.1,--,"6'7"" (2.01m)",200lb (91kg),USA,Missouri,--,"May 12, 1955",1978 R7 Pick 146,1 Year,0
97,Kyle Anderson,Forward-Guard,20 ,13 ,7 ,6 ,8 ,4 ,1 ,2 ,574,4013,FALSE,9.4,4.9,5.3,10.8,"6'9"" (2.06m)",230lb (104kg),USA,UCLA,29 years,"September 20, 1993",2014 R1 Pick 30,8 Years,0
98,Michael Anderson,Guard,--,--,--,--,--,--,--,--,36,204,FALSE,5.7,4.3,2.5,--,"5'11"" (1.80m)",184lb (83kg),USA,Drexel,--,"March 23, 1966",1988 R3 Pick 73,1 Year,0
99,Mitchell Anderson,Forward,4 ,1 ,--,--,2 ,--,1 ,1 ,157,751,FALSE,4.8,0.7,2.8,--,"6'8"" (2.03m)",195lb (88kg),USA,Bradley,--,"September 23, 1960",1982 R2 Pick 36,3 Years,0
100,Nick Anderson,Forward-Guard,29 ,12 ,7 ,6 ,10 ,8 ,4 ,3 ,800,11529,FALSE,14.4,2.6,5.1,--,"6'6"" (1.98m)",228lb (103kg),USA,Illinois,--,"January 20, 1968",1989 R1 Pick 11,14 Years,3
101,Richard Anderson,Forward,14 ,5 ,3 ,2 ,6 ,4 ,3 ,1 ,407,2260,FALSE,5.6,1.5,3.5,--,"6'10"" (2.08m)",240lb (109kg),USA,California-Santa Barbara,--,"November 19, 1960",1982 R2 Pick 32,6 Years,0
102,Ron Anderson,Forward,26 ,7 ,6 ,2 ,13 ,10 ,1 ,2 ,664,7056,FALSE,10.6,1.4,3.5,--,"6'7"" (2.01m)",215lb (98kg),USA,Fresno State,--,"October 15, 1958",1984 R2 Pick 27,10 Years,0
103,Ryan Anderson,--,26 ,12 ,4 ,2 ,10 ,4 ,4 ,2 ,649,8001,FALSE,12.3,0.9,5.3,--,"6'9"" (2.06m)",240lb (109kg),USA,California,--,"May 6, 1988",2008 R1 Pick 21,12 Years,1
104,Shandon Anderson,Guard-Forward,17 ,11 ,5 ,3 ,7 ,6 ,2 ,1 ,719,5327,FALSE,7.4,1.4,3.1,--,"6'6"" (1.98m)",215lb (98kg),USA,Georgia,--,"December 31, 1973",1996 R2 Pick 54,10 Years,0
105,Willie Anderson,Guard-Forward,38 ,10 ,7 ,4 ,18 ,7 ,2 ,2 ,555,6771,FALSE,12.2,3.8,3.8,--,"6'8"" (2.03m)",200lb (91kg),USA,Georgia,--,"January 8, 1967",1988 R1 Pick 10,8 Years,3
106,Wally Anderzunas,Center,--,--,--,--,--,--,--,--,44,159,FALSE,3.6,0.2,1.9,--,"6'7"" (2.01m)",220lb (100kg),USA,Creighton,--,"January 11, 1946",1969 R2 Pick 25,1 Year,0
107,Martynas Andriuskevicius,Center,--,--,--,--,--,--,--,--,6,0,FALSE,--,--,0.7,--,"7'2"" (2.18m)",240lb (109kg),Lithuania,Zalgiris,--,"March 12, 1986",2005 R2 Pick 44,2 Years,0
108,Don Anielak,Forward,--,--,--,--,--,--,--,--,1,3,FALSE,3,--,2,--,"6'7"" (2.01m)",190lb (86kg),USA,Missouri State,--,"November 1, 1930",1954 R3 Pick 26,1 Year,0
109,Ike Anigbogu,--,--,--,--,--,--,--,--,--,14,13,FALSE,0.9,0.1,0.9,--,"6'10"" (2.08m)",250lb (113kg),USA,UCLA,--,"October 16, 1998",2017 R2 Pick 47,3 Years,0
110,Michael Ansley,Forward,--,--,--,--,--,--,--,--,149,1026,FALSE,6.9,0.4,4.2,--,"6'7"" (2.01m)",225lb (102kg),USA,Alabama,--,"February 8, 1967",1989 R2 Pick 37,3 Years,0
111,Chris Anstey,Center,--,--,--,--,--,--,--,--,155,813,FALSE,5.2,0.8,3.4,--,"7'0"" (2.13m)",249lb (113kg),Australia,South East Melbourne,--,"January 1, 1975",1997 R1 Pick 18,2 Years,2
112,Giannis Antetokounmpo,Forward,50 ,23 ,15 ,3 ,16 ,17 ,3 ,5 ,719,16280,FALSE,31.1,5.7,11.8,20.4,"7'0"" (2.13m)",243lb (110kg),Greece,Filathlitikos,28 years,"December 6, 1994",2013 R1 Pick 15,9 Years,38
113,Kostas Antetokounmpo,Forward,--,--,--,--,--,--,--,--,22,21,FALSE,1,0.1,1,--,"6'10"" (2.08m)",200lb (91kg),Greece,Dayton,25 years,"November 20, 1997",2018 R2 Pick 60,4 Years,0
